,Адрес,Цена,Тип предложения,Площадь участка,Коммуникации,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Телефон,Санузел,Пол
278,с. Арашан,$ 57 000,от собственника,6.2 соток,"свет,                                             интернет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.7312,74.6522,в дачном массиве,"фундамент,                                             огорожен,                                             госакт,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
279,с. Таш-Добо,$ 120 000,от агента,16 соток,,,,,42.7229,74.5794,,,,,,,,,,,,,,
280,Беловодское,$ 29 000,от агента,10 соток,,,,,42.8323,74.1194,,,,,,,,,,,,,,
281,"с. Чуй, Покровская 65/не доезжая до ключевой",$ 18 990,от собственника,6.5 соток,,"технический паспорт,                                             красная книга",,,42.8171,75.2774,в пригороде,,,,,,,,,,,,,
282,"Бишкек, Киргизия 1 ж/м",$ 485 000,от агента,16 соток,,,,,42.8173,74.5826,,,,,,,,,,,,,,
283,"Бишкек, Тунгуч м-н",$ 180 000,от агента,15 соток,,,,,42.852,74.6894,,,,,,,,,,,,,,
284,"Бишкек, 8 м-н, Октябрьская",$ 106 000,от агента,9.35 соток,,,есть,,42.8337,74.6094,,,,,0,,,,,,,,,
285,"Бишкек, Тепличная",$ 5 100 000,от агента,1829 соток,,,нет,,42.9207,74.5719,,,,,0,,,,,,,,,
286,Кара-Балта,$ 132 000,от агента,25 соток,,,,,42.7985,73.8518,,,,,,,,,,,,,,
287,с. Васильевка,$ 539 000,от собственника,1100 соток,свет,"договор дарения,                                             красная книга",,рассмотрю варианты,43.1074,74.5898,возле водоема,"удобный въезд,                                             все документы",есть,,,,,,,,,,,
288,с. Восток,$ 327 700,от собственника,113 соток,"свет,                                             вода","договор дарения,                                             красная книга",,рассмотрю варианты,42.9191,74.6838,возле водоема,"удобный въезд,                                             все документы",есть,,,,,,,,,,,
289,"Бишкек, Орозбекова - Жибек-Жолу",$ 60 000,от собственника,4 соток,"свет,                                             газ,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,,42.8883,74.6044,,,нет,,,,,,,,,,,
290,с. Новопавловка,$ 57 000,от агента,10 соток,,,,,42.8721,74.4742,,,,,,,,,,,,,,
291,с. Новопокровка,$ 360 000,от агента,330 соток,,,,,42.877,74.7664,,,,,,,,,,,,,,
292,"Бишкек, Матросова",$ 155 000,от агента,5 соток,,,,,42.8425,74.6154,,,,,,,,,,,,,,
293,Каракол,$ 100 000,от агента,8 соток,,,,,42.5736,78.3181,,,,,,,,,,,,,,
294,"Бишкек, Ата-Журт",$ 150 000,от агента,120 соток,,,есть,,42.8751,75.1703,,,,,0,,,,,,,,,
295,"Бишкек, Асанбай м-н",$ 2 500 000,от агента,120 соток,,,,,42.816,74.6284,,,,,,,,,,,,,,
296,"Бишкек, Асанбай м-н",$ 3 150 000,от агента,150 соток,,,,,42.8165,74.6276,,,,,,,,,,,,,,
297,"Бишкек, Матросова",$ 460 000,от агента,20 соток,,,,,42.853,74.6193,,,,,,,,,,,,,,
298,Бишкек,$ 650 000,от агента,26 соток,,"красная книга,                                             зеленая книга",,,42.8631,74.6171,,,,,,,,,,,,,,
299,с. Орто-Орукту,$ 5 000,от агента,200 соток,,,,,42.7445,77.942,,,,,,,,,,,,,,
300,"с. Байтик, Суйунбаева",$ 78 000,от агента,15 соток,,,есть,,42.7447,74.5433,,,,,0,,,,,,,,,
301,"Бишкек, Киргизия 1 ж/м",$ 485 000,от агента,16 соток,,,,,42.8138,74.5832,,,,,,,,,,,,,,
302,Бишкек,$ 55 000,от собственника,4 соток,,,,,42.8851,74.5189,,,,,,,,,,,,,,
303,"с. Тору-Айгыр, Ахунбаева",$ 168 000,от агента,250 соток,,,есть,,42.4958,76.425,,,,,0,,,,,,,,,
304,"Бишкек, Темировский переулок",$ 45 000,от агента,4.6 соток,,,есть,,42.8969,74.5758,,,,,0,,,,,,,,,
305,"Сокулук, Белинского",$ 55 000,от агента,35 соток,,,есть,,42.8546,74.2743,,,,,0,,,,,,,,,
306,"Бишкек, Арча-Бешик ж/м, Жайыл Баатыра",$ 215 000,от агента,6.4 соток,,,есть,,42.8357,74.5479,,,,,0,,,,,,,,,
307,"Бишкек, Арча-Бешик ж/м, Бакаева",$ 305 000,от агента,8 соток,,,нет,,42.8357,74.5479,,,,,0,,,,,,,,,
308,"Чолпон-Ата, Советская",$ 200 000,от агента,65 соток,,,нет,,42.6456,77.0624,,,,,0,,,,,,,,,
309,"Чолпон-Ата, Советская",$ 200 000,от агента,65 соток,,,нет,,42.6456,77.0624,,,,,0,,,,,,,,,
310,"Чолпон-Ата, Советская",$ 1 000 000,от агента,450 соток,,,нет,,42.6456,77.0624,,,,,0,,,,,,,,,
311,"Бишкек, Медерова/Токтоналиева",$ 106 000,от агента,5 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8544,74.5921,,"хозпостройки,                                             огорожен,                                             дом",нет,,,,,,,,,,,
312,Лебединовка,$ 150 000,от агента,235 соток,,,нет,,42.8858,74.6667,,,,,0,,,,,,,,,
313,"Бишкек, 8 м-н, Бегматова",$ 165 000,от агента,6 соток,,,есть,,42.8337,74.6094,,,,,0,,,,,,,,,
314,"Бишкек, Кожобергенова",$ 500 000,от агента,17.2 соток,,,нет,,42.7913,74.6152,,,,,0,,,,,,,,,
315,с. Тамчы,$ 125 000,от собственника,12 соток,"свет,                                             вода",технический паспорт,,рассмотрю варианты,42.5645,76.6555,вдоль трассы,,,,,,,,,,,,,
316,"Бишкек, Ак-Босого ж/м, Бухарская/Чуй-10",$ 30 000,от собственника,3.5 соток,"свет,                                             вода","красная книга,                                             договор купли-продажи",,обмен не предлагать,42.932,74.5877,вдоль трассы,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд",,,,,,,,,,,,
317,"Сокулук, Разная",$ 90 000,от агента,70.2 соток,,,нет,,42.8546,74.2743,,,,,0,,,,,,,,,
318,"с. Кок-Джар, Контур-199",$ 1 300 000,от агента,290 соток,,,есть,,42.8106,74.6526,,,,,0,,,,,,,,,
319,"Каракол, Актилек +/Гречко",$ 340 000,от собственника,14 соток,вода,красная книга,есть,рассмотрю варианты,42.4949,78.3848,,"удобно под коммерцию,                                             дом,                                             все документы",есть,,,,,,,,,,,
320,"Бишкек, Арча-Бешик ж/м, Барпы Алыкулова",$ 490 000,от агента,25 соток,,,есть,,42.8357,74.5479,,,,,0,,,,,,,,,
321,"Каракол, Коенкозова 104/Кучуков",$ 240 000,от собственника,30 соток,"свет,                                             отопление,                                             вода,                                             канализация",красная книга,есть,рассмотрю варианты,42.4977,78.4126,,"хозпостройки,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,,,,,,,,,
322,"Бишкек, Курганская",$ 470 000,от агента,24.6 соток,,,нет,,42.9092,74.6572,,,,,0,,,,,,,,,
323,"Ош, Мкр. Ак Тилек",$ 130 000,от собственника,12 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация",красная книга,нет,,40.5022,72.7772,в городе,"фундамент,                                             удобно под коммерцию",нет,,,,,,,,,,,
324,"Бишкек, 8 м-н, Байтик Баатыра",$ 672 000,от агента,21 соток,,,есть,,42.8337,74.6094,,,,,0,,,,,,,,,
325,"Бишкек, Арча-Бешик ж/м, Садырбаева",$ 212 000,от агента,9.3 соток,,,есть,,42.8357,74.5479,,,,,0,,,,,,,,,
326,"Бишкек, Учкурганская",$ 155 000,от агента,9 соток,,,есть,,42.8969,74.5758,,,,,0,,,,,,,,,
327,"Бишкек, Аламедин-1 м-н, Турсун Бяра",$ 59 000,от агента,6 соток,,,есть,,42.8779,74.6897,,,,,0,,,,,,,,,
328,с. Кок-Джар,$ 100 000,от агента,10 соток,,"договор купли-продажи,                                             красная книга",нет,рассмотрю варианты,42.8125,74.6454,в дачном массиве,,нет,,,,,,,,,,,
329,Чолпон-Ата,$ 500 000,от агента,200 соток,,,нет,,42.6456,77.0624,,,,,0,,,,,,,,,
330,"с. Арашан, Аламудунская/Узун Кыз",$ 300 000,от агента,43 соток,"интернет,                                             вода,                                             свет",,,обмен не предлагать,42.7232,74.6495,вдоль трассы,"госакт,                                             ровный,                                             все документы,                                             удобный въезд",,,,,,,,,,,,
331,"с. Беш-Кунгей, Бакбаева/Мыктыбек уулу сарыбагыш",$ 65 000,от агента,8 соток,"свет,                                             вода",,,обмен не предлагать,42.7723,74.6493,в городе,,,,,,,,,,,,,
332,Бишкек,$ 350 000,от агента,300 соток,,,нет,,42.7913,74.6152,,,,,0,,,,,,,,,
333,с. Лесное (Сокулукский р-н),$ 10 949,от собственника,4 соток,,,,обмен на авто,42.989,74.4259,в пригороде,,,,,,,,,,,,,
334,"Сокулук, Тендик",$ 28 000,от агента,5 соток,,,есть,,42.8546,74.2743,,,,,0,,,,,,,,,
335,"с. Военно-Антоновка, Южная",$ 88 000,от агента,5 соток,,,есть,,42.8752,74.4538,,,,,0,,,,,,,,,
336,"Бишкек, Ынтымак ж/м, Орто",$ 178 000,от агента,9 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8127,74.5727,в городе,"хозпостройки,                                             огорожен,                                             госакт,                                             времянка,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
337,"Бишкек, Лермонтова",$ 250 000,от агента,13.4 соток,,,нет,,42.7913,74.6152,,,,,0,,,,,,,,,
338,"Бишкек, Тенир-Тоо м-н",$ 75 000,от собственника,3 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",нет,рассмотрю варианты,42.8442,74.5351,вдоль трассы,"сад,                                             огорожен,                                             ровный",нет,,,,,,,,,,,
339,"с. Гавриловка, Максима горького 117а",$ 25 000,от агента,8 соток,"свет,                                             газ","договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен не предлагать,42.8693,74.35,в пригороде,"фундамент,                                             хозпостройки,                                             огорожен,                                             госакт",,,,,,,,,,,,
340,"Токмок, 3мкр",$ 180 000,от агента,2800 соток,,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7969,75.3156,вдоль трассы,"все документы,                                             удобный въезд,                                             ровный,                                             удобно под коммерцию,                                             ж/д тупик",,,,,,,,,,,,
341,с. Арашан,$ 83 000,от агента,18 соток,,,,рассмотрю варианты,42.7315,74.6449,,,,,,,,,,,,,,
342,"Бишкек, Советская - Скрябина",$ 230 000,от агента,4.5 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.8527,74.6107,в городе,"хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             все документы",,,,,,,,,,,,
343,"Бишкек, Льва Толстого/Асаналиева",$ 2 000 000,от агента,54 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             красная книга",нет,обмен не предлагать,42.8654,74.5694,в городе,"фундамент,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
344,Бишкек,$ 750 000,от собственника,150 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.9286,74.5794,в пригороде,"фундамент,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
345,"Бишкек, Кара-Жыгач ж/м, Анкара",$ 390 000,от агента,20 соток,"свет,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8551,74.6566,вдоль трассы,,,,,,,,,,,,,
346,"Бишкек, 6 м-н, Сухэ Батора",$ 80 000,от агента,2 соток,"свет,                                             газ,                                             вода,                                             канализация",,,,42.8269,74.6284,,,,,,,,,,,,,,
347,с. Арашан,$ 15 000,от собственника,100 соток,,,,,42.7192,74.6497,в предгорьях,,,,,,,,,,,,,
348,"Бишкек, Кок-Жар ж/м, Тон",$ 78 000,от собственника,9 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.8354,74.6392,в городе,"фундамент,                                             сад,                                             огорожен,                                             госакт,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
349,с. Кок-Джар,$ 25 000,от собственника,5 соток,"свет,                                             газ,                                             вода,                                             канализация",,,обмен на авто,42.8334,74.6553,,"госакт,                                             ровный,                                             удобный въезд",,,,,,,,,,,,
350,"Бишкек, Пишпек ж/м",$ 45 000,от агента,3.3 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация",,,,42.8577,74.5493,,,,,,,,,,,,,,
351,"Бишкек, Учкун-2 ж/м",$ 99 900,от агента,11 соток,,,,,42.8649,74.6931,,,,,,,,,,,,,,
352,"Бишкек, Карпинка",$ 145 000,от агента,3 соток,,,,,42.8717,74.6238,,,,,,,,,,,,,,
353,"Бишкек, Кара-Жыгач ж/м, Льва Толстого/Достоевского",$ 115 000,от агента,5 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8665,74.6538,вдоль трассы,"фундамент,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             все документы",нет,,,,,,,,,,,
354,"Бишкек, Западный автовокзал,  ул. Павлова ул Ак  муз/ул Рыскулова",$ 830 000,от собственника,20 соток,,,,рассмотрю варианты,42.8803,74.567,в городе,,,,,,,,,,,,,
355,"Бишкек, Гагарина",$ 270 000,от агента,9 соток,,,,,42.8499,74.5586,,,,,,,,,,,,,,
356,Бишкек,$ 125 000,от агента,10 соток,,,,,42.8053,74.6184,,,,,,,,,,,,,,
357,"Бишкек, Арча-Бешик ж/м",$ 107 000,от агента,7 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация",,,,42.837,74.5525,,,,,,,,,,,,,,
358,"Бишкек, Арча-Бешик ж/м",$ 118 000,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,обмен не предлагать,42.815,74.5627,,"сад,                                             хозпостройки,                                             госакт,                                             времянка,                                             все документы",,,,,,,,,,,,
359,"Бишкек, ж/м Ала-Арча 2, Шералиев",$ 66 000,от агента,4 соток,"свет,                                             газ,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен не предлагать,42.8125,74.5598,вдоль трассы,,,,,,,,,,,,,
360,"Бишкек, Арча-Бешик ж/м",$ 110 000,от агента,8 соток,"свет,                                             газ,                                             телефон,                                             канализация,                                             вода,                                             интернет","договор купли-продажи,                                             красная книга,                                             технический паспорт",,обмен не предлагать,42.8257,74.5536,,,,,,,,,,,,,,
361,"с. Таш-Мойнок, село Таш-Мойнок",$ 45 000,от агента,7 соток,"свет,                                             вода,                                             интернет","договор купли-продажи,                                             красная книга",,,42.7392,74.6555,в пригороде,,,,,,,,,,,,,
362,"с. Беш-Кунгей, село Беш-Кунгей",$ 35 000,от агента,6 соток,"свет,                                             интернет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.7713,74.6453,в пригороде,"огорожен,                                             госакт,                                             времянка,                                             ровный,                                             все документы",,,,,,,,,,,,
363,"с. Кок-Джар, село Кок-Жар",$ 95 000,от агента,7.5 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8267,74.6479,в городе,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             все документы",,,,,,,,,,,,
364,"с. Кок-Джар,  улица Куланова",$ 48 000,от агента,6 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон","договор купли-продажи,                                             красная книга",,,42.8322,74.6441,в городе,,,,,,,,,,,,,
365,"Бишкек, Ак-Ордо ж/м, Алтын байрак 43/Каркыра",$ 48 000,от агента,5 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","технический паспорт,                                             договор купли-продажи,                                             красная книга",,обмен не предлагать,42.8415,74.5058,,,,,,,,,,,,,,
366,с. Калтар,$ 35 000,от агента,10 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8181,74.5228,в пригороде,"ровный,                                             все документы",,,,,,,,,,,,
367,"Бишкек, Арча-Бешик ж/м",$ 51 000,от агента,4 соток,,,,,42.8162,74.5577,,,,,,,,,,,,,,
368,с. Таш-Мойнок,$ 45 000,от агента,7 соток,,,,,42.7362,74.6553,,,,,,,,,,,,,,
369,"Бишкек, Арча-Бешик ж/м",$ 51 000,от агента,5 соток,,,,,42.8184,74.5618,,,,,,,,,,,,,,
370,"Бишкек, Арча-Бешик ж/м, Баба Ата/Айылчиев",$ 125 000,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8271,74.5591,,,,,,,,,,,,,,
371,Бишкек,$ 672 000,от агента,42 соток,"свет,                                             вода,                                             канализация","технический паспорт,                                             красная книга",,,42.8627,74.6804,,,,,,,,,,,,,,
372,"Бишкек, Чуй - Алматинка, Огонбаева/западная",$ 75 000,от агента,8 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8778,74.6315,,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             времянка",,,,,,,,,,,,
373,"Бишкек, Арча-Бешик ж/м, 18-көчө",$ 75 000,от агента,8 соток,,,,,42.8141,74.5584,,,,,,,,,,,,,,
374,"Бишкек, Арча-Бешик ж/м",$ 88 500,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация",,,,42.8358,74.5433,,,,,,,,,,,,,,
375,"Бишкек, Арча-Бешик ж/м, Жайыл Баатыр",$ 210 000,от агента,6 соток,,,,,42.8267,74.5476,,,,,,,,,,,,,,
376,"Бишкек, 12 м-н",$ 170 000,от агента,5 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,,,42.8143,74.6398,в городе,"удобно под коммерцию,                                             госакт,                                             фундамент",,,,,,,,,,,,
377,"Бишкек, АУЦА",$ 250 000,от агента,75 соток,,,,,42.8071,74.6164,,,,,,,,,,,,,,
378,"Бишкек, АУЦА",$ 67 000,от агента,5 соток,,,,,42.8081,74.6177,,,,,,,,,,,,,,
379,с. Кой-Таш,$ 128 000,от агента,50 соток,,,,,42.6909,74.6722,,,,,,,,,,,,,,
380,"ж/м Биримдик Кут, Биримдик кут/11кочо",$ 220 000,от агента,43 соток,"свет,                                             вода",,,,42.9212,74.6954,в городе,,,,,,,,,,,,,
381,"Бишкек, Ак-Орго ж/м, Гагарина/садыкова",$ 48 000,от агента,5 соток,"канализация,                                             вода,                                             газ,                                             свет",,,,42.8558,74.5238,в городе,"дом,                                             все документы",,,,,,,,,,,,
382,с. Беш-Кунгей,$ 198 000,от агента,50 соток,газ,,,,42.7611,74.6428,в предгорьях,"ровный,                                             все документы",,,,,,,,,,,,
383,"Бишкек, баялинова/курганская",$ 480 000,от агента,24 соток,"свет,                                             газ,                                             вода,                                             канализация",,,,42.895,74.5985,в городе,"дом,                                             все документы",,,,,,,,,,,,
384,д/п Бек-Тоо,$ 150 000,от агента,2.3 соток,,зеленая книга,,,42.7925,74.6982,в предгорьях,,,,,,,,,,,,,
385,"Бишкек, Чуй - Алматинка, Айтматова",$ 40 000,от агента,4 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8801,74.6277,,,,,,,,,,,,,,
386,с. Байтик,$ 65 000,от агента,50 соток,,,,,42.7536,74.5536,,,,,,,,,,,,,,
387,"Бишкек, Ынтымак ж/м",$ 350 000,от агента,16 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация",,,обмен не предлагать,42.8148,74.5645,,,,,,,,,,,,,,
388,Беловодское/Садовое,$ 85 000,от агента,95 соток,"свет,                                             вода,                                             отопление,                                             интернет",красная книга,,,42.7826,74.0818,,"хозпостройки,                                             удобно под коммерцию,                                             госакт,                                             все документы,                                             дом",,,,,,,,,,,,
389,"с. Новопокровка, Линейная 126а",$ 135 000,от агента,38 соток,"свет,                                             вода","красная книга,                                             технический паспорт,                                             договор купли-продажи",,,42.8663,74.7255,,все документы,,,,,,,,,,,,
390,"Кант, 3 мкрн",$ 270 000,от агента,78 соток,,,есть,обмен не предлагать,42.8817,74.8549,в городе,,есть,,,,,,,,,,,
391,"Бишкек, Кок-Жар ж/м, Достоевского",$ 600 000,от собственника,100 соток,,зеленая книга,,рассмотрю варианты,42.8459,74.6504,,ровный,,,,,,,,,,,,
392,"Бишкек, Алматинка - Магистраль",$ 280 000,от собственника,13 соток,,"красная книга,                                             технический паспорт,                                             договор купли-продажи",,,42.8029,74.6471,в городе,,,,,,,,,,,,,
393,"с. Таш-Добо, Киргизская 76",$ 70 000,от собственника,12 соток,,"технический паспорт,                                             красная книга,                                             договор дарения",,обмен не предлагать,42.7335,74.573,в пригороде,,,,,,,,,,,,,
394,"Лебединовка, Шайлобек 27",$ 18 000,от агента,4 соток,"газ,                                             свет,                                             вода","договор купли-продажи,                                             красная книга,                                             технический паспорт",,,42.8892,74.6963,в пригороде,"ровный,                                             удобный въезд,                                             удобно под коммерцию",,,,,,,,,,,,
395,"с. Джаны-Пахта, Жаны Пахта",$ 460 000,от собственника,9000 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",нет,рассмотрю варианты,43.0724,74.2248,в пригороде,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
396,"Лебединовка, Пр-т Ленина 294",$ 25 000,от собственника,13.27 соток,"свет,                                             отопление,                                             телефон,                                             вода",красная книга,,,42.8835,74.6683,,"дом,                                             времянка,                                             все документы,                                             удобно под коммерцию,                                             госакт,                                             хозпостройки",,,,,,,,,,,,
397,"с. Тамчы, Береговая линия",$ 70 000,от агента,20 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.5654,76.6722,,"госакт,                                             ровный,                                             все документы",,,,,,,,,,,,
398,"с. Беш-Кунгей, с. Беш-Кунгей/начало",$ 95 000,от агента,14.5 соток,,"договор купли-продажи,                                             красная книга",,,42.7756,74.6552,,"фундамент,                                             госакт,                                             все документы",,,,,,,,,,,,
399,"Бишкек, Ошский рынок, Пушкина/СШ31",$ 350 000,от агента,12.24 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8791,74.5659,,"госакт,                                             дом,                                             все документы",,,,,,,,,,,,
400,"Бишкек, Арча-Бешик ж/м, Кара-Кужур/Чортекова",$ 65 000,от собственника,8 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8274,74.5452,,,,,,,,,,,,,,
401,с. Маловодное (Сокулукский р-н),$ 20 000,от агента,10 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.8443,74.3788,вдоль трассы,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
402,с. Корумду (Тюпский р-н),$ 315 000,от агента,30 соток,,,,рассмотрю варианты,42.7848,78.5702,,,,,,,,,,,,,,
403,"с. Учкун, Ново-Павловский а/о ,ж/м Учкун2 Квартал 24",$ 17 000,от собственника,8 соток,свет,,,,43.0375,74.4282,,,,,,,,,,,,,,
404,с. Тамчы,$ 55 000,от агента,24 соток,,,,,42.5655,76.6733,,,,,,,,,,,,,,
405,Бишкек,$ 5 000,от собственника,2 соток,,,,,42.9212,74.6107,,,,,,,,,,,,,,
406,"Ош, Кен-Сай массиви",$ 6 339,от собственника,6 соток,,красная книга,,,40.4717,72.7406,в городе,,,,,,,,,,,,,
407,Ош,$ 3 458,от собственника,6 соток,,красная книга,,,40.4582,72.7413,в дачном массиве,,,,,,,,,,,,,
408,"Бишкек, Кудайберген",$ 55 000,от агента,4 соток,,,,,42.8756,74.5159,,,,,,,,,,,,,,
409,с. Бостери,$ 159 000,от агента,100 соток,,,,,42.6518,77.1915,,,,,,,,,,,,,,
410,"Бишкек, Золотой квадрат, Логвиненко/Киевская",$ 690 000,от агента,7 соток,"свет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,,рассмотрю варианты,42.8734,74.5999,,,,,,,,,,,,,,
411,с. Кок-Джар,$ 155 000,от агента,14 соток,"свет,                                             газ,                                             отопление,                                             вода","технический паспорт,                                             красная книга",,,42.806,74.6496,,"хозпостройки,                                             огорожен,                                             все документы",,,,,,,,,,,,
412,с. Кара-Ой,$ 35 000,от агента,20 соток,,,,,42.6372,77.0395,,,,,,,,,,,,,,
413,"Бишкек, Арча-Бешик ж/м",$ 485 000,от агента,91 соток,,,,,42.8251,74.537,,,,,,,,,,,,,,
414,"с. Урумбаш, Джалалабатский обл,Сузакский р-н, Кок Артский лесохозяйство/Ообек",$ 100 000,от собственника,1.3 соток,"свет,                                             вода",зеленая книга,,,41.2215,73.4712,вдоль трассы,"удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
